"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude"
"Advito Launches Intelligence &amp; Analytics Consulting Practice with Data and Analytics Tools Powered by Business Technology Leader Domo";FALSE;1;NA;2018-04-10 13:03:11;FALSE;NA;"983691864355344384";NA;"<a href=\"https://syndwire.com/\" rel=\"nofollow\">syndwire</a>";"VTG_Biz_Group";0;FALSE;FALSE;NA;NA
"4 #IoT Analytics Tools: Achieve Greater Visualisation &amp; Insights [2018] https://t.co/hTbDw5ElTJ by @RedPixie";FALSE;0;NA;2018-04-10 13:03:09;FALSE;NA;"983691857656938496";NA;"<a href=\"http://bufferapp.com\" rel=\"nofollow\">Buffer</a>";"jbrinkman";0;FALSE;FALSE;NA;NA
"RT @jeffalytics: 90 Day Challenge - DAY 80: About 5 years ago Google Analytics took away our organic keyword data, and to date, they haven’…";FALSE;0;NA;2018-04-10 13:03:07;FALSE;NA;"983691848844763136";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"mattstannard";1;TRUE;FALSE;NA;NA
"RT @QUOINE_SG: #Biotron is now LIVE on #QRYPTOS.

@BiotronI gives you control over data collected about you, sharing revenue with users &amp; p…";FALSE;0;NA;2018-04-10 13:03:05;FALSE;NA;"983691838996414464";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"sudhakarkodati";9;TRUE;FALSE;NA;NA
"RT @AlecSocial: RT @DigitalRetweet: #IoT in organizations {#Infographic} @Fisher85M @IIoT_World #Industry40 #IIoT #cybersecurity #analytics…";FALSE;0;NA;2018-04-10 13:03:05;FALSE;NA;"983691838476378119";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"simplivllc";6;TRUE;FALSE;NA;NA
"United Nations adopts #Tableau as global standard to augment decision support https://t.co/48sguHFzz6 via… https://t.co/4E8X5B5poW";FALSE;0;NA;2018-04-10 13:03:03;TRUE;NA;"983691832705060864";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"_ZoranPavlovic";0;FALSE;FALSE;NA;NA
"RT @ingliguori: The 4 V's of #BigData {#infographic}
<U+2714>VOLUME
<U+2714>VELOCITY
<U+2714>VARIETY 
<U+2714>VERACITY
but misses the most important V of #data = VALUE…";FALSE;0;NA;2018-04-10 13:03:01;FALSE;NA;"983691822361853957";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"simplivllc";4;TRUE;FALSE;NA;NA
"New Research from Sumo Logic Reveals Widespread Demand for Disruptive Security Analytics Tools to Accelerate https://t.co/1jFBwCq8RJ";FALSE;0;NA;2018-04-10 13:02:56;FALSE;NA;"983691804087390209";NA;"<a href=\"http://globenewswire.com\" rel=\"nofollow\">GNWLive</a>";"GNWLive";0;FALSE;FALSE;NA;NA
"RT @datsyuklover: @Light4ASD @Chef_Charmaine @Tips_CE @1961Et @heroldbarton @mirtaimperatori @MktgSciences @cynthia_lardner @naotenso @Nori…";FALSE;0;NA;2018-04-10 13:02:54;FALSE;NA;"983691793194799105";NA;"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>";"heroldbarton";1;TRUE;FALSE;NA;NA
"How data analytics is reshaping risk management https://t.co/sOhkop4b9G";FALSE;0;NA;2018-04-10 13:02:51;FALSE;NA;"983691783619076098";NA;"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>";"StratApps";0;FALSE;FALSE;NA;NA
"Pandas For Everyone: Python Data Analysis (addison-wesley Data &amp; Analytics Series)  https://t.co/gWgDaXLu4U #pandas #python @pythonbot_";FALSE;0;NA;2018-04-10 13:02:42;FALSE;NA;"983691743290953728";NA;"<a href=\"https://twitter.com/pythonbot_\" rel=\"nofollow\">Python Bot2</a>";"pythonbot_";0;FALSE;FALSE;NA;NA
"Compared to just a year ago, #smartphone users are significantly more likely to purchase from companies whose mobil… https://t.co/NoEVR9epa0";FALSE;0;NA;2018-04-10 13:02:36;TRUE;NA;"983691719953694721";NA;"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>";"KeensDesign";0;FALSE;FALSE;NA;NA
